순위,선수명,팀명,타율,타수,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,병살타,타순
5,이유찬,두산,0.333,3,1,0,0,0,0,1,0,0,0,5번
6,강승호,두산,0.288,59,17,2,0,2,8,8,0,20,0,5번
7,김재환,두산,0.239,46,11,3,0,2,11,4,2,15,2,5번
8,양석환,두산,0.217,263,57,12,0,14,51,29,2,59,12,5번
9,김재호,두산,0.0,1,0,0,0,0,0,0,0,0,0,5번
9,양찬열,두산,0.0,1,0,0,0,0,0,0,0,0,0,5번
9,전민재,두산,0.0,1,0,0,0,0,0,0,0,0,0,5번
1,김대한,두산,0.5,2,1,0,0,0,1,0,0,0,0,6번
1,김재호,두산,0.5,2,1,0,0,0,1,0,0,0,0,6번
1,이유찬,두산,0.5,2,1,0,0,0,0,0,0,1,0,6번
4,양석환,두산,0.368,87,32,5,1,8,21,6,1,23,1,6번
5,강승호,두산,0.336,125,42,10,3,8,23,9,1,35,3,6번
6,라모스,두산,0.333,66,22,5,1,3,16,3,1,10,1,6번
7,김재환,두산,0.327,49,16,3,0,3,6,5,2,17,0,6번
8,허경민,두산,0.286,7,2,0,0,0,0,2,0,0,0,6번
9,김기연,두산,0.15,20,3,0,0,1,2,3,1,3,0,6번
10,박준영,두산,0.083,12,1,0,0,0,1,0,0,4,1,6번
11,김태근,두산,0.0,2,0,0,0,0,0,0,0,1,0,6번
11,양의지,두산,0.0,1,0,0,0,0,0,0,0,0,0,6번
11,전민재,두산,0.0,1,0,0,0,0,0,0,0,0,0,6번
11,정수빈,두산,0.0,1,0,0,0,0,0,0,0,0,0,6번
11,조수행,두산,0.0,1,0,0,0,0,0,0,0,0,0,6번
1,김재환,두산,1.0,1,1,0,0,0,0,0,0,0,0,7번
2,홍성호,두산,0.667,3,2,2,0,0,1,0,0,1,0,7번
3,허경민,두산,0.435,23,10,2,0,1,6,1,1,2,0,7번
4,라모스,두산,0.348,66,23,4,1,1,8,9,1,12,0,7번
5,김기연,두산,0.296,54,16,5,0,1,6,4,1,11,1,7번
6,김민혁,두산,0.25,4,1,0,0,1,2,0,0,2,0,7번
7,전민재,두산,0.246,57,14,1,0,1,9,3,1,13,3,7번
8,강승호,두산,0.22,59,13,4,0,1,5,4,2,16,0,7번
9,김재호,두산,0.182,11,2,0,0,0,0,2,1,2,0,7번
10,김인태,두산,0.154,13,2,0,0,1,1,2,0,5,1,7번
11,박준영,두산,0.119,59,7,1,0,1,7,6,1,17,1,7번
12,김대한,두산,0.0,7,0,0,0,0,0,0,0,2,0,7번
12,서예일,두산,0.0,1,0,0,0,0,0,0,0,0,0,7번
12,윤준호,두산,0.0,2,0,0,0,0,0,0,0,1,0,7번
12,전다민,두산,0.0,1,0,0,0,0,0,0,0,1,0,7번
12,정수빈,두산,0.0,1,0,0,0,0,0,0,0,0,0,7번
12,조수행,두산,0.0,1,0,0,0,0,0,0,0,0,0,7번
1,강승호,두산,1.000,1,1,0,0,0,1,0,0,0,0,8번
1,정수빈,두산,1.000,3,3,0,0,0,0,0,0,0,0,8번
3,박계범,두산,0.400,5,2,0,0,0,0,1,0,1,0,8번
4,박준영,두산,0.358,53,19,6,1,2,8,7,0,16,0,8번
4,이유찬,두산,0.358,53,19,3,0,1,6,8,1,7,3,8번
6,전민재,두산,0.341,44,15,3,0,1,7,6,0,10,1,8번
7,전다민,두산,0.333,3,1,0,0,0,0,1,0,0,0,8번
8,김재호,두산,0.281,32,9,3,0,0,2,6,0,5,2,8번
9,김기연,두산,0.270,63,17,0,0,2,8,6,0,9,2,8번
10,서예일,두산,0.250,8,2,0,0,0,0,0,0,2,0,8번
10,양찬열,두산,0.250,4,1,0,0,0,1,1,0,0,0,8번
12,조수행,두산,0.222,9,2,0,0,0,0,2,1,2,0,8번
13,장승현,두산,0.200,20,4,2,0,0,0,2,0,5,0,8번
14,김대한,두산,0.100,30,3,1,0,0,2,3,0,10,0,8번
15,김민혁,두산,-,0,0,0,0,0,0,1,0,0,0,8번
15,김인태,두산,0.000,4,0,0,0,0,0,0,0,1,0,8번
15,김태근,두산,0.000,3,0,0,0,0,0,0,0,2,0,8번
15,박민준,두산,0.000,1,0,0,0,0,0,0,0,0,0,8번
15,안승한,두산,0.000,3,0,0,0,0,0,0,0,1,0,8번
15,윤준호,두산,0.000,1,0,0,0,0,1,0,0,0,0,8번
15,홍성호,두산,0.000,2,0,0,0,0,0,1,0,1,0,8번
1,김재환,두산,1.000,1,1,1,0,0,1,0,0,0,0,9번
1,허경민,두산,1.000,1,1,0,0,0,0,0,0,0,0,9번
3,김기연,두산,0.500,2,1,0,0,0,1,0,0,0,0,9번
4,김인태,두산,0.333,6,2,0,0,0,1,0,0,1,0,9번
